,Date,Country,City,Specie,count,min,max,median,variance
0,17/07/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,29.5,59.13
1,21/10/2020,VN,Ho Chi Minh City,temperature,24,26.0,31.0,27.0,26.23
2,07/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,28.0,69.2
3,22/11/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.5,26.0,102.39
4,10/01/2020,VN,Ho Chi Minh City,temperature,24,23.5,34.0,28.5,125.65
5,27/01/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,26.0,64.4
6,19/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.5,28.0,83.97
7,18/05/2020,VN,Ho Chi Minh City,temperature,24,28.5,36.5,31.0,73.87
8,28/05/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,28.0,43.58
9,27/08/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,30.0,58.37
10,22/12/2020,VN,Ho Chi Minh City,temperature,24,23.0,28.0,25.0,21.94
11,06/04/2020,VN,Ho Chi Minh City,temperature,24,27.5,35.0,29.0,76.59
12,29/04/2020,VN,Ho Chi Minh City,temperature,24,26.0,36.5,30.0,101.74
13,02/05/2020,VN,Ho Chi Minh City,temperature,24,28.0,34.5,30.0,42.5
14,21/05/2020,VN,Ho Chi Minh City,temperature,24,26.5,36.0,31.0,100.8
15,28/11/2020,VN,Ho Chi Minh City,temperature,24,23.0,33.0,29.0,96.73
16,04/01/2021,VN,Ho Chi Minh City,temperature,24,24.0,33.0,26.5,92.59
17,28/02/2020,VN,Ho Chi Minh City,temperature,24,23.5,35.0,28.0,128.24
18,10/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,35.0,28.5,80.36
19,04/04/2020,VN,Ho Chi Minh City,temperature,24,27.5,36.0,30.0,82.23
20,17/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,36.0,29.0,100.71
21,25/05/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,27.0,85.32
22,08/07/2020,VN,Ho Chi Minh City,temperature,24,23.5,31.5,26.0,47.83
23,31/08/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,27.0,72.82
24,29/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,29.0,26.0,17.57
25,18/01/2020,VN,Ho Chi Minh City,temperature,24,23.5,32.0,27.0,73.87
26,21/01/2020,VN,Ho Chi Minh City,temperature,24,25.0,35.5,28.5,132.37
27,23/01/2020,VN,Ho Chi Minh City,temperature,23,25.0,34.0,27.5,96.51
28,26/01/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.5,26.0,86.07
29,07/02/2020,VN,Ho Chi Minh City,temperature,24,22.5,34.5,27.0,145.87
30,04/03/2020,VN,Ho Chi Minh City,temperature,3,27.0,27.0,27.0,0.0
31,23/10/2020,VN,Ho Chi Minh City,temperature,24,26.0,31.5,28.0,43.62
32,15/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,27.5,54.13
33,29/02/2020,VN,Ho Chi Minh City,temperature,24,24.5,34.5,27.5,95.71
34,09/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,36.5,30.5,71.95
35,05/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.0,48.7
36,15/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,36.0,30.5,56.29
37,31/05/2020,VN,Ho Chi Minh City,temperature,24,26.0,33.5,30.0,62.28
38,07/08/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.0,27.0,74.55
39,09/11/2020,VN,Ho Chi Minh City,temperature,24,23.0,31.0,27.0,63.15
40,18/11/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,28.0,51.73
41,13/01/2020,VN,Ho Chi Minh City,temperature,24,23.0,34.0,26.0,135.92
42,24/01/2020,VN,Ho Chi Minh City,temperature,24,23.0,34.5,27.0,133.76
