country,cases
Afghanistan,177039
Albania,272961
Algeria,265524
Andorra,39234
Angola,99003
Anguilla,2595
Antigua and Barbuda,7470
Argentina,9004829
Armenia,422286
Aruba,33843
Australia,3863155
Austria,3429011
Azerbaijan,791288
Bahamas,33211
Bahrain,543089
Bangladesh,1950527
Barbados,57548
Belarus,949994
Belgium,3696059
Belize,57143
Benin,26952
Bermuda,12094
Bhutan,21310
Bolivia,899524
Bosnia,373985
Botswana,263950
Brazil,29576397
British Virgin Islands,6104
Brunei,123422
Bulgaria,1122795
Burkina Faso,20751
Burundi,38308
Cabo Verde,55921
Cambodia,134889
Cameroon,119414
Canada,3394348
Caribbean Netherlands,7739
Cayman Islands,19433
Central African Republic,14649
Chad,7267
Channel Islands,60844
Chile,3368704
China,128462
Colombia,6079896
Comoros,8076
Congo,24059
Cook Islands,676
Costa Rica,829400
Croatia,1083111
Cuba,1079853
Curaçao,39853
Cyprus,370311
Czechia,3733099
Côte d'Ivoire,81643
DRC,86461
Denmark,2856182
Diamond Princess,712
Djibouti,15573
Dominica,11643
Dominican Republic,577241
Ecuador,849699
Egypt,495373
El Salvador,160942
Equatorial Guinea,15899
Eritrea,9723
Estonia,541551
Ethiopia,469419
Falkland Islands (Malvinas),118
Faroe Islands,34237
Fiji,64221
Finland,786312
France,23957773
French Guiana,78326
French Polynesia,71243
Gabon,47570
Gambia,11973
Georgia,1641399
Germany,18424575
Ghana,160791
Gibraltar,16166
Greece,2756487
Greenland,11926
Grenada,13936
Guadeloupe,130705
Guatemala,814111
Guinea,36435
Guinea-Bissau,8096
Guyana,63175
Haiti,30478
Holy See (Vatican City State),29
Honduras,418300
Hong Kong,1016944
Hungary,1824089
Iceland,170806
India,43006080
Indonesia,5956561
Iran,7139217
Iraq,2315791
Ireland,1365467
Isle of Man,26101
Israel,3751049
Italy,13724411
Jamaica,128477
Japan,6016206
Jordan,1680179
Kazakhstan,1304818
Kenya,323255
Kiribati,3042
Kuwait,626993
Kyrgyzstan,200802
Lao People's Democratic Republic,151956
Latvia,769131
Lebanon,1087387
Lesotho,32775
Liberia,7397
Libyan Arab Jamahiriya,500864
Liechtenstein,15243
Lithuania,989430
Luxembourg,199202
MS Zaandam,9
Macao,82
Macedonia,302867
Madagascar,63870
Malawi,85544
Malaysia,3951678
Maldives,174658
Mali,30444
Malta,74315
Marshall Islands,7
Martinique,135881
Mauritania,58661
Mauritius,35043
Mayotte,36745
Mexico,5629814
Micronesia,1
Moldova,509834
Monaco,10063
Mongolia,467521
Montenegro,232038
Montserrat,174
Morocco,1162374
Mozambique,225201
Myanmar,608384
Namibia,157503
Nepal,978127
Netherlands,7435118
New Caledonia,59861
New Zealand,471225
Nicaragua,18290
Niger,8788
Nigeria,255103
Niue,1
Norway,1376239
Oman,387180
Pakistan,1521513
Palau,3945
Palestine,580165
Panama,761004
Papua New Guinea,41533
Paraguay,646843
Peru,3540108
Philippines,3673717
Poland,5885446
Portugal,3458727
Qatar,359806
Romania,2813798
Russia,17551657
Rwanda,129635
Réunion,318695
S. Korea,9038938
Saint Helena,2
Saint Kitts and Nevis,5544
Saint Lucia,22878
Saint Martin,9912
Saint Pierre Miquelon,1693
Saint Vincent and the Grenadines,6745
Samoa,94
San Marino,14726
Sao Tome and Principe,5938
Saudi Arabia,749471
Senegal,85820
Serbia,1952029
Seychelles,39761
Sierra Leone,7673
Singapore,996914
Sint Maarten,9637
Slovakia,1627836
Slovenia,935329
Solomon Islands,9758
Somalia,26400
South Africa,3702042
South Sudan,17093
Spain,11324637
Sri Lanka,657723
St. Barth,3780
Sudan,61775
Suriname,78916
Swaziland,69541
Sweden,2475687
Switzerland,3253776
Syrian Arab Republic,55514
Taiwan,21784
Tajikistan,17388
Tanzania,33773
Thailand,3328973
Timor-Leste,22789
Togo,36871
Tonga,2788
Trinidad and Tobago,134445
Tunisia,1029762
Turkey,14663508
Turks and Caicos Islands,5874
UAE,887385
UK,20093762
USA,81388590
Uganda,163635
Ukraine,4928032
Uruguay,872938
Uzbekistan,237438
Vanuatu,753
Venezuela,519420
Vietnam,7367112
Wallis and Futuna,454
Western Sahara,10
Yemen,11797
Zambia,315623
Zimbabwe,244318
