country,deaths
Afghanistan,7652
Albania,3487
Algeria,6871
Andorra,153
Angola,1900
Anguilla,9
Antigua and Barbuda,135
Argentina,127439
Armenia,8593
Aruba,212
Australia,5722
Austria,15387
Azerbaijan,9647
Bahamas,773
Bahrain,1465
Bangladesh,29114
Barbados,326
Belarus,6716
Belgium,30510
Belize,654
Benin,163
Bermuda,126
Bhutan,9
Bolivia,21482
Bosnia,15664
Botswana,2619
Brazil,656867
British Virgin Islands,62
Brunei,180
Bulgaria,36266
Burkina Faso,375
Burundi,38
Cabo Verde,401
Cambodia,3050
Cameroon,1926
Canada,37150
Caribbean Netherlands,31
Cayman Islands,22
Central African Republic,113
Chad,190
Channel Islands,147
Chile,44339
China,4638
Colombia,139415
Comoros,160
Congo,383
Cook Islands,0
Costa Rica,8226
Croatia,15425
Cuba,8504
Curaçao,265
Cyprus,915
Czechia,39352
Côte d'Ivoire,796
DRC,1335
Denmark,5375
Diamond Princess,13
Djibouti,189
Dominica,62
Dominican Republic,4375
Ecuador,35348
Egypt,24277
El Salvador,4107
Equatorial Guinea,183
Eritrea,103
Estonia,2385
Ethiopia,7488
Falkland Islands (Malvinas),0
Faroe Islands,28
Fiji,834
Finland,2783
France,140841
French Guiana,394
French Polynesia,645
Gabon,303
Gambia,365
Georgia,16643
Germany,127289
Ghana,1445
Gibraltar,101
Greece,26847
Greenland,20
Grenada,217
Guadeloupe,843
Guatemala,17206
Guinea,440
Guinea-Bissau,169
Guyana,1226
Haiti,827
Holy See (Vatican City State),0
Honduras,10857
Hong Kong,5401
Hungary,44961
Iceland,91
India,516381
Indonesia,153599
Iran,139550
Iraq,25127
Ireland,6638
Isle of Man,81
Israel,10417
Italy,157607
Jamaica,2858
Japan,26919
Jordan,13959
Kazakhstan,13653
Kenya,5647
Kiribati,13
Kuwait,2553
Kyrgyzstan,2978
Lao People's Democratic Republic,645
Latvia,5507
Lebanon,10237
Lesotho,697
Liberia,294
Libyan Arab Jamahiriya,6368
Liechtenstein,81
Lithuania,8716
Luxembourg,1010
MS Zaandam,2
Macao,0
Macedonia,9164
Madagascar,1377
Malawi,2624
Malaysia,34244
Maldives,297
Mali,727
Malta,621
Marshall Islands,0
Martinique,905
Mauritania,981
Mauritius,934
Mayotte,187
Mexico,321931
Micronesia,0
Moldova,11378
Monaco,54
Mongolia,2177
Montenegro,2696
Montserrat,2
Morocco,16050
Mozambique,2199
Myanmar,19420
Namibia,4014
Nepal,11950
Netherlands,21774
New Caledonia,306
New Zealand,144
Nicaragua,223
Niger,308
Nigeria,3142
Niue,0
Norway,2169
Oman,4250
Pakistan,30328
Palau,6
Palestine,5326
Panama,8153
Papua New Guinea,639
Paraguay,18571
Peru,211751
Philippines,58023
Poland,114206
Portugal,21408
Qatar,677
Romania,64669
Russia,364058
Rwanda,1458
Réunion,689
S. Korea,12101
Saint Helena,0
Saint Kitts and Nevis,42
Saint Lucia,365
Saint Martin,63
Saint Pierre Miquelon,1
Saint Vincent and the Grenadines,106
Samoa,0
San Marino,112
Sao Tome and Principe,72
Saudi Arabia,9027
Senegal,1964
Serbia,15662
Seychelles,163
Sierra Leone,125
Singapore,1191
Sint Maarten,85
Slovakia,19093
Slovenia,6435
Solomon Islands,127
Somalia,1348
South Africa,99868
South Sudan,138
Spain,101703
Sri Lanka,16422
St. Barth,6
Sudan,4888
Suriname,1323
Swaziland,1392
Sweden,18020
Switzerland,13467
Syrian Arab Republic,3124
Taiwan,853
Tajikistan,124
Tanzania,800
Thailand,24165
Timor-Leste,129
Togo,272
Tonga,2
Trinidad and Tobago,3704
Tunisia,28065
Turkey,97077
Turks and Caicos Islands,36
UAE,2302
UK,163511
USA,997136
Uganda,3595
Ukraine,107477
Uruguay,7127
Uzbekistan,1637
Vanuatu,1
Venezuela,5666
Vietnam,41740
Wallis and Futuna,7
Western Sahara,1
Yemen,2140
Zambia,3962
Zimbabwe,5423
